Process temperature [K],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M,Target
0.0009441404049799199,1.3074418390752547,1.3975943341195274,0,1,0,1
-1.967205717359987,-0.29073110191888923,-1.6233241857607064,0,1,0,0
-0.9294328548140287,-0.07825217588101382,0.03134977738977337,0,1,0,0
1.4920371577932072,1.5507529237426938,-1.6688656709850316,0,0,1,0
0.9269756383919384,1.6223203239682011,1.3065113636708772,0,1,0,1
-1.0678025698201485,-1.3442724435233524,-0.8794799270967293,0,1,0,0
0.3850794377442086,-0.6537159339002584,0.3805011641095994,0,1,0,0
-0.08518831930675924,-2.822275559723203,0.4564036394834746,0,1,0,1
-0.6526934248017496,0.08996030723230371,-0.8187579467976291,0,1,0,0
-1.552096572341588,-0.19334492748486312,0.0009887872402232812,0,0,1,0
0.03915515022888922,-1.9640026444671541,-0.803577451722854,0,1,0,0
0.5234491527503286,0.6919839310062824,0.41086215425914946,0,1,0,0
-0.6526934248017496,1.2497411118557045,-0.25707962903095244,0,0,1,0
0.32753045402150743,2.225011181227211,-0.5303285403769032,0,0,0,1
0.21651471500919198,2.1320618223364614,1.4886773045681776,0,1,0,1
0.869373440265648,-1.2557395576742378,0.06171076753932346,0,1,0,0
0.5234491527503286,-1.007847477296717,-1.4563387399381809,0,1,0,0
-0.5835085672987094,0.6654240652515483,-0.21153814380662733,0,0,1,0
0.6618188677564484,-0.12251861880557109,0.09207175768887355,0,0,1,0
0.3541916746684766,1.7977168655028648,-0.3026211142552776,0,1,0,1
-0.09358036185147683,0.4570271868593683,1.8226481962132286,0,1,0,1
0.5926340102533688,0.7273970853459281,-1.1830898285922302,0,1,0,1
1.1712482438810254,2.0685617103802416,-0.803577451722854,0,1,0,1
-0.998617712317069,0.06340044147756896,0.7296525508294254,1,0,0,0
0.03915515022888922,0.1253734615719494,-0.7732164615733039,0,0,1,0
-1.4829117148385476,0.6034510451571679,0.22869621336184895,0,0,1,0
1.3536674427870872,1.3294207091199075,1.0636234424744764,0,0,1,0
1.2152977277809673,0.6123043337420795,1.0332624523249263,0,0,1,0
-0.998617712317069,-0.18449163889995154,-0.6062310157507784,0,1,0,0
1.3536674427870872,-1.1229402289005659,1.3368723538204272,0,0,1,0
